2022-01-01,Saturday,New Year's Day
2022-01-17,Monday,Martin Luther King Jr. Day
2022-02-14,Monday,Valentine's Day
2022-02-21,Monday,Washington's Birthday
2022-03-17,Thursday,St. Patrick's Day
2022-04-17,Sunday,Easter Sunday
2022-04-18,Monday,Tax Day
2022-04-27,Wednesday,Administrative Professionals Day
2022-05-08,Sunday,Mother's Day
2022-05-30,Monday,Memorial Day
2022-06-19,Sunday,Juneteenth
2022-06-19,Sunday,Father's Day
2022-06-20,Monday,Juneteenth (substitute day)
2022-07-04,Monday,Independence Day
2022-09-05,Monday,Labor Day
2022-10-10,Monday,Columbus Day
2022-10-31,Monday,Halloween
2022-11-11,Friday,Veterans Day
2022-11-24,Thursday,Thanksgiving Day
2022-11-25,Friday,Day after Thanksgiving Day
2022-12-24,Saturday,Christmas Eve
2022-12-25,Sunday,Christmas Day
2022-12-26,Monday,Christmas Day (substitute day)
2022-12-31,Saturday,New Year's Eve
2023-01-01,Sunday,New Year's Day
2023-01-02,Monday,New Year's Day (substitute day)
2023-01-16,Monday,Martin Luther King Jr. Day
2023-02-14,Tuesday,Valentine's Day
2023-02-20,Monday,Washington's Birthday
2023-03-17,Friday,St. Patrick's Day
2023-04-09,Sunday,Easter Sunday
2023-04-18,Tuesday,Tax Day
2023-04-26,Wednesday,Administrative Professionals Day
2023-05-14,Sunday,Mother's Day
2023-05-29,Monday,Memorial Day
2023-06-18,Sunday,Father's Day
2023-06-19,Monday,Juneteenth
2023-07-04,Tuesday,Independence Day
2023-09-04,Monday,Labor Day
2023-10-09,Monday,Columbus Day
2023-10-31,Tuesday,Halloween
2023-11-10,Friday,Veterans Day (substitute day)
2023-11-11,Saturday,Veterans Day
2023-11-23,Thursday,Thanksgiving Day
2023-11-24,Friday,Day after Thanksgiving Day
2023-12-24,Sunday,Christmas Eve
2023-12-25,Monday,Christmas Day
2023-12-31,Sunday,New Year's Eve
2024-01-01,Monday,New Year's Day
2024-01-15,Monday,Martin Luther King Jr. Day
2024-02-14,Wednesday,Valentine's Day
2024-02-19,Monday,Washington's Birthday
2024-03-17,Sunday,St. Patrick's Day
2024-03-31,Sunday,Easter Sunday
2024-04-15,Monday,Tax Day
2024-04-24,Wednesday,Administrative Professionals Day
2024-05-12,Sunday,Mother's Day
2024-05-27,Monday,Memorial Day
2024-06-16,Sunday,Father's Day
2024-06-19,Wednesday,Juneteenth
2024-07-04,Thursday,Independence Day
2024-09-02,Monday,Labor Day
2024-10-14,Monday,Columbus Day
2024-10-31,Thursday,Halloween
2024-11-05,Tuesday,Election Day
2024-11-11,Monday,Veterans Day
2024-11-28,Thursday,Thanksgiving Day
2024-11-29,Friday,Day after Thanksgiving Day
2024-12-24,Tuesday,Christmas Eve
2024-12-25,Wednesday,Christmas Day
2024-12-31,Tuesday,New Year's Eve
2025-01-01,Wednesday,New Year's Day
2025-01-20,Monday,Martin Luther King Jr. Day
2025-02-14,Friday,Valentine's Day
2025-02-17,Monday,Washington's Birthday
2025-03-17,Monday,St. Patrick's Day
2025-04-15,Tuesday,Tax Day
2025-04-20,Sunday,Easter Sunday
2025-04-23,Wednesday,Administrative Professionals Day
2025-05-11,Sunday,Mother's Day
2025-05-26,Monday,Memorial Day
2025-06-15,Sunday,Father's Day
2025-06-19,Thursday,Juneteenth
2025-07-04,Friday,Independence Day
2025-09-01,Monday,Labor Day
2025-10-13,Monday,Columbus Day
2025-10-31,Friday,Halloween
2025-11-11,Tuesday,Veterans Day
2025-11-27,Thursday,Thanksgiving Day
2025-11-28,Friday,Day after Thanksgiving Day
2025-12-24,Wednesday,Christmas Eve
2025-12-25,Thursday,Christmas Day
2025-12-31,Wednesday,New Year's Eve